new_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,url
Essence%:%Wizkid Featuring Justin Bieber,0.835,0.691,0,-5.828,1,0.113,0.0159,1.44e-05,0.108,0.581,103.999,audio_features,1mSdbey7RstGLY2udgXv74,spotify:track:1mSdbey7RstGLY2udgXv74,https://api.spotify.com/v1/tracks/1mSdbey7RstGLY2udgXv74,https://api.spotify.com/v1/audio-analysis/1mSdbey7RstGLY2udgXv74,263289,4,https://open.spotify.com/track/1mSdbey7RstGLY2udgXv74
Kiss Me More%:%Doja Cat Featuring SZA,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,audio_features,748mdHapucXQri7IAO8yFK,spotify:track:748mdHapucXQri7IAO8yFK,https://api.spotify.com/v1/tracks/748mdHapucXQri7IAO8yFK,https://api.spotify.com/v1/audio-analysis/748mdHapucXQri7IAO8yFK,208867,4,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
Heat Waves%:%Glass Animals,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,02MWAaffLxlfxAUY7c5dvx,spotify:track:02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/audio-analysis/02MWAaffLxlfxAUY7c5dvx,238805,4,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
Beggin'%:%Maneskin,0.714,0.8,11,-4.808,0,0.0504,0.127,0,0.359,0.589,134.002,audio_features,3Wrjm47oTz2sjIgck11l5e,spotify:track:3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/tracks/3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/audio-analysis/3Wrjm47oTz2sjIgck11l5e,211560,4,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
Cold Heart (PNAU Remix)%:%Elton John,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,audio_features,6zSpb8dQRaw0M1dK8PBwQz,spotify:track:6zSpb8dQRaw0M1dK8PBwQz,https://api.spotify.com/v1/tracks/6zSpb8dQRaw0M1dK8PBwQz,https://api.spotify.com/v1/audio-analysis/6zSpb8dQRaw0M1dK8PBwQz,202735,4,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
You Right%:%Doja Cat,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,audio_features,0k4d5YPDr1r7FX77VdqWez,spotify:track:0k4d5YPDr1r7FX77VdqWez,https://api.spotify.com/v1/tracks/0k4d5YPDr1r7FX77VdqWez,https://api.spotify.com/v1/audio-analysis/0k4d5YPDr1r7FX77VdqWez,186173,4,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
Save Your Tears%:%The Weeknd,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,audio_features,5QO79kh1waicV47BqGRL3g,spotify:track:5QO79kh1waicV47BqGRL3g,https://api.spotify.com/v1/tracks/5QO79kh1waicV47BqGRL3g,https://api.spotify.com/v1/audio-analysis/5QO79kh1waicV47BqGRL3g,215627,4,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
If I Didn't Love You%:%Jason Aldean,0.456,0.679,1,-4.802,1,0.0324,0.176,0,0.103,0.483,184.075,audio_features,1WQ40xJSvgDmD9K7ckJwux,spotify:track:1WQ40xJSvgDmD9K7ckJwux,https://api.spotify.com/v1/tracks/1WQ40xJSvgDmD9K7ckJwux,https://api.spotify.com/v1/audio-analysis/1WQ40xJSvgDmD9K7ckJwux,212030,4,https://open.spotify.com/track/1WQ40xJSvgDmD9K7ckJwux
Traitor%:%Olivia Rodrigo,0.38,0.339,3,-7.885,1,0.0338,0.691,0,0.12,0.0849,100.607,audio_features,5CZ40GBx1sQ9agT82CLQCT,spotify:track:5CZ40GBx1sQ9agT82CLQCT,https://api.spotify.com/v1/tracks/5CZ40GBx1sQ9agT82CLQCT,https://api.spotify.com/v1/audio-analysis/5CZ40GBx1sQ9agT82CLQCT,229227,4,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
My Universe%:%Coldplay x BTS,0.636,0.651,4,-6.643,1,0.0393,0.0409,0,0.0487,0.617,104.946,audio_features,2XdxX7zN3lxeigURVDrZM4,spotify:track:2XdxX7zN3lxeigURVDrZM4,https://api.spotify.com/v1/tracks/2XdxX7zN3lxeigURVDrZM4,https://api.spotify.com/v1/audio-analysis/2XdxX7zN3lxeigURVDrZM4,228333,4,https://open.spotify.com/track/2XdxX7zN3lxeigURVDrZM4
Who Want Smoke??%:%Nardo Wick Featuring G Herbo,0.748,0.713,6,-6.399,1,0.355,0.00496,0,0.245,0.482,75.591,audio_features,7ACW7VpgoKmfM1sKo15UhX,spotify:track:7ACW7VpgoKmfM1sKo15UhX,https://api.spotify.com/v1/tracks/7ACW7VpgoKmfM1sKo15UhX,https://api.spotify.com/v1/audio-analysis/7ACW7VpgoKmfM1sKo15UhX,279573,4,https://open.spotify.com/track/7ACW7VpgoKmfM1sKo15UhX
Knife Talk%:%Drake Featuring 21 Savage,0.849,0.424,5,-9.579,0,0.324,0.0635,0,0.0834,0.153,145.887,audio_features,2BcMwX1MPV6ZHP4tUT9uq6,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,https://api.spotify.com/v1/tracks/2BcMwX1MPV6ZHP4tUT9uq6,https://api.spotify.com/v1/audio-analysis/2BcMwX1MPV6ZHP4tUT9uq6,242966,4,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
Meet Me At Our Spot%:%THE ANXIETY: WILLOW,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,audio_features,07MDkzWARZaLEdKxo6yArG,spotify:track:07MDkzWARZaLEdKxo6yArG,https://api.spotify.com/v1/tracks/07MDkzWARZaLEdKxo6yArG,https://api.spotify.com/v1/audio-analysis/07MDkzWARZaLEdKxo6yArG,162680,4,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
Montero (Call Me By Your Name)%:%Lil Nas X,0.593,0.503,8,-6.725,0,0.22,0.293,0,0.405,0.71,178.781,audio_features,1SC5rEoYDGUK4NfG82494W,spotify:track:1SC5rEoYDGUK4NfG82494W,https://api.spotify.com/v1/tracks/1SC5rEoYDGUK4NfG82494W,https://api.spotify.com/v1/audio-analysis/1SC5rEoYDGUK4NfG82494W,137704,4,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
Chasing After You%:%Ryan Hurd With Maren Morris,0.596,0.679,4,-6.395,1,0.0394,0.723,0,0.116,0.479,131.912,audio_features,1ZIKpMTRPqhwAoVXWY3tXI,spotify:track:1ZIKpMTRPqhwAoVXWY3tXI,https://api.spotify.com/v1/tracks/1ZIKpMTRPqhwAoVXWY3tXI,https://api.spotify.com/v1/audio-analysis/1ZIKpMTRPqhwAoVXWY3tXI,207974,4,https://open.spotify.com/track/1ZIKpMTRPqhwAoVXWY3tXI
Girls Want Girls%:%Drake Featuring Lil Baby,0.652,0.39,7,-18.098,0,0.063,0.69,0.91,0.124,0.605,87.451,audio_features,1QfnnOZgPOgAs8YluQs4Hs,spotify:track:1QfnnOZgPOgAs8YluQs4Hs,https://api.spotify.com/v1/tracks/1QfnnOZgPOgAs8YluQs4Hs,https://api.spotify.com/v1/audio-analysis/1QfnnOZgPOgAs8YluQs4Hs,223266,4,https://open.spotify.com/track/1QfnnOZgPOgAs8YluQs4Hs
Moth To A Flame%:%Swedish House Mafia,0.553,0.659,8,-7.295,1,0.0391,0.0027,0,0.105,0.105,120.146,audio_features,0VO8gYVDSwM1Qdd2GsMoYK,spotify:track:0VO8gYVDSwM1Qdd2GsMoYK,https://api.spotify.com/v1/tracks/0VO8gYVDSwM1Qdd2GsMoYK,https://api.spotify.com/v1/audio-analysis/0VO8gYVDSwM1Qdd2GsMoYK,234000,4,https://open.spotify.com/track/0VO8gYVDSwM1Qdd2GsMoYK
Let's Go Brandon%:%Bryson Gray Featuring Tyson James,0.913,0.561,11,-9.851,0,0.329,0.0282,4.07e-06,0.0767,0.554,136.984,audio_features,3SZc0j8zRttWPfXPKraJtS,spotify:track:3SZc0j8zRttWPfXPKraJtS,https://api.spotify.com/v1/tracks/3SZc0j8zRttWPfXPKraJtS,https://api.spotify.com/v1/audio-analysis/3SZc0j8zRttWPfXPKraJtS,185789,4,https://open.spotify.com/track/3SZc0j8zRttWPfXPKraJtS
