"hitness","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","time_signature","sentiment","duration_min","tempo_div_100","popularity_div_1000"
TRUE,0.704,0.611,"2",-6.112,"1",0.0409,0.217,0,0.0812,0.22,4,0.9975,3.15778333333333,1,56.375
FALSE,0.455,0.292,"0",-6.792,"1",0.0563,0.889,0,0.106,0.43,5,0.9982,2.97445,0.84339,14.953
TRUE,0.533,0.907,"11",-3.793,"1",0.0406,0.0292,0,0.386,0.7,4,0.9967,3.05266666666667,1.5099,16.113
TRUE,0.656,0.542,"7",-7.358,"1",0.323,0.0484,0,0.126,0.551,4,-0.9201,2.35978333333333,1.66111,15.416
FALSE,0.808,0.617,"10",-9.32,"0",0.442,0.111,0,0.734,0.632,4,-0.9979,2.77333333333333,1.4996,12.903
FALSE,0.901,0.464,"5",-9.789,"0",0.0645,0.368,1.71e-05,0.238,0.638,4,0.9931,3.38778333333333,1.09004,7.223
FALSE,0.898,0.733,"7",-4.75,"1",0.178,0.0533,0.000115,0.102,0.295,4,0.9982,3.95821666666667,0.9651,7.625
FALSE,0.487,0.859,"4",-4.403,"1",0.0488,0.00204,0,0.322,0.377,4,0.5994,3.808,1.48037,0.079
TRUE,0.706,0.855,"10",-5.377,"1",0.215,0.0911,0,0.347,0.293,4,0,3.35421666666667,1.07184,23.101
FALSE,0.745,0.715,"1",-3.368,"0",0.246,0.128,0,0.182,0.342,4,-0.9986,2.2672,0.94511,11.865
TRUE,0.876,0.786,"10",-4.884,"0",0.306,0.0627,0,0.127,0.575,4,0.9961,4.07798333333333,1.53068,57.511
TRUE,0.499,0.797,"2",-3.77,"1",0.0554,0.199,0,0.0933,0.408,4,0.9705,3.52946666666667,1.76024,1.007
TRUE,0.734,0.493,"0",-7.528,"1",0.308,0.0467,0,0.0477,0.562,4,-0.9926,3.89583333333333,0.86043,6.885
FALSE,0.735,0.525,"6",-2.939,"0",0.0441,0.653,0.918,0.101,0.369,4,0.9144,2.62961666666667,1.60147,37.904
FALSE,0.321,0.64,"2",-10.023,"1",0.0324,0.28,0,0.718,0.414,3,-0.9389,3.57221666666667,1.46172,0.805
FALSE,0.774,0.608,"7",-6.264,"1",0.128,0.128,0,0.0895,0.56,4,0.9935,3.04201666666667,1.37494,0.441
FALSE,0.36,0.233,"5",-14.716,"0",0.0327,0.932,0.00231,0.151,0.177,4,0.9601,4.51558333333333,1.06107,10.324
FALSE,0.769,0.627,"7",-4.064,"1",0.262,0.394,0,0.106,0.49,4,-0.9809,2.73396666666667,1.57938,18.205
FALSE,0.814,0.667,"6",-4.785,"0",0.36,0.0369,0,0.11,0.376,4,-0.9421,4,0.80031,18.205
FALSE,0.764,0.784,"10",-4.003,"0",0.0833,0.469,0,0.123,0.51,4,0.6122,3.10671666666667,1.44981,18.205
