"hitness","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","popularity","sentiment"
FALSE,0.741,0.645,"11",-5.116,"0",0.0963,0.192,0,0.163,0.488,149.07,231964,4,25510,0.9951
TRUE,0.56,0.68,"6",-7.648,"0",0.321,0.555,0,0.116,0.319,89.391,173800,4,26108,0.9938
TRUE,0.791,0.587,"3",-5.075,"0",0.0413,0.407,0,0.148,0.536,96.057,179449,4,7944,0.9988
TRUE,0.511,0.363,"4",-7.65,"0",0.041,0.816,0.0317,0.084,0.169,144.892,200379,4,8160,-0.9018
TRUE,0.367,0.111,"4",-14.084,"1",0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4,8160,0.9976
TRUE,0.74,0.488,"1",-7.664,"0",0.27,0.234,0,0.241,0.584,149.042,120133,4,10,-0.9559
TRUE,0.551,0.402,"11",-7.431,"1",0.0262,0.676,0,0.0928,0.382,103.313,193200,4,16113,0.9832
TRUE,0.676,0.578,"10",-4.669,"0",0.375,0.0509,0,0.0796,0.698,158.896,203881,4,16468,-0.9466
TRUE,0.851,0.541,"0",-6.825,"1",0.0505,0.568,0,0.13,0.448,124.959,235545,4,14146,0.9998
TRUE,0.553,0.586,"11",-6.319,"1",0.0362,0.697,0,0.0813,0.443,126.684,196373,4,247,0.9707
TRUE,0.897,0.662,"1",-6.903,"0",0.292,0.0852,0,0.534,0.389,112.511,145543,4,16468,-0.9985
TRUE,0.717,0.653,"1",-5.634,"1",0.0658,0.229,0,0.101,0.412,106.966,207320,4,26508,0
FALSE,0.678,0.533,"4",-10.485,"1",0.186,0.462,0.219,0.139,0.323,150.455,180953,4,8160,0.8948
TRUE,0.494,0.632,"5",-6.89,"1",0.0342,0.682,0,0.0869,0.0797,147.873,274693,4,10324,0.875
TRUE,0.596,0.854,"7",-5.114,"0",0.463,0.0169,0,0.124,0.152,120.274,203418,4,8541,0.3527
TRUE,0.68,0.578,"10",-5.804,"1",0.04,0.331,0,0.135,0.341,145.038,231267,4,32227,0.9972
FALSE,0.383,0.637,"3",-6.993,"1",0.0703,0.0722,0,0.368,0.0827,177.913,260773,4,56375,-0.9962
FALSE,0.574,0.37,"10",-10.803,"1",0.084,0.634,8.76e-05,0.0986,0.354,83.163,211627,4,18416,-0.961
TRUE,0.964,0.487,"10",-6.071,"0",0.421,0.00127,6.57e-06,0.115,0.107,127.05,154024,4,16468,0.8715
TRUE,0.579,0.511,"8",-6.788,"1",0.0293,0.254,0,0.099,0.594,78.003,230973,4,2392,0.9851
TRUE,0.489,0.581,"11",-5.731,"1",0.0281,0.0312,0,0.132,0.494,86.016,196747,4,9501,0.6832
TRUE,0.95,0.59,"8",-6.508,"0",0.29,0.00534,0,0.11,0.219,130.003,183527,4,11394,-0.9977
TRUE,0.861,0.603,"8",-5.788,"0",0.176,0.0521,0,0.0924,0.504,98.043,228760,4,25510,0
TRUE,0.788,0.842,"4",-4.006,"0",0.142,0.121,0.00112,0.166,0.481,190.077,166476,4,11394,0.4631
TRUE,0.351,0.296,"4",-10.109,"0",0.0333,0.934,0,0.095,0.12,115.284,200186,4,18416,0.9932
TRUE,0.616,0.474,"10",-9.608,"1",0.0266,0.192,0.00762,0.0989,0.493,142.689,210133,4,39973,0.9958
TRUE,0.543,0.868,"3",-4.69,"0",0.0354,0.0338,0.000289,0.19,0.433,144.07,192888,4,9607,0.9979
TRUE,0.816,0.726,"5",-3.998,"0",0.129,0.099,0,0.372,0.65,136.048,253390,4,11394,0.9991
TRUE,0.91,0.366,"1",-9.954,"1",0.0941,0.0996,0,0.261,0.74,119.985,152000,4,18205,0.9313
TRUE,0.75,0.665,"8",-3.083,"1",0.124,0.265,0,0.0515,0.697,95.239,219357,4,3023,-0.928
TRUE,0.799,0.579,"4",-5.144,"0",0.0487,0.00381,0,0.367,0.363,142.987,203161,4,47598,0
FALSE,0.553,0.502,"0",-5.972,"1",0.0409,0.299,0,0.764,0.296,129.976,210200,4,2712,-0.9532
TRUE,0.792,0.743,"7",-2.806,"1",0.0851,0.107,0,0.183,0.742,150.024,195637,4,783,-0.9998
TRUE,0.729,0.625,"4",-5.266,"1",0.0315,0.194,0.00986,0.248,0.261,146.034,183907,4,3527,-0.9973
TRUE,0.736,0.67,"10",-6.702,"1",0.311,0.186,0,0.114,0.845,130.032,169999,4,12903,-0.6413
FALSE,0.406,0.359,"7",-6.145,"1",0.0293,0.685,3.67e-06,0.122,0.202,109.246,328893,4,2712,-0.7888
TRUE,0.575,0.571,"1",-7.906,"1",0.0439,0.0558,0,0.0912,0.449,105.049,197947,4,16783,0.2628
FALSE,0.729,0.475,"8",-4.985,"1",0.0364,0.378,0,0.12,0.371,62.52,212267,3,26508,0.9959
TRUE,0.705,0.531,"1",-7.031,"1",0.0281,0.0135,2.11e-06,0.165,0.425,107.013,178333,4,29255,0.9906
TRUE,0.785,0.554,"0",-6.571,"1",0.0409,0.283,3.4e-06,0.116,0.144,128.047,150043,4,25510,0.99
TRUE,0.711,0.696,"7",-5.05,"1",0.0869,0.16,0,0.17,0.694,80.512,189533,4,2899,0.9984
TRUE,0.703,0.723,"9",-5.45,"0",0.0412,0.0302,2.06e-06,0.126,0.288,104.969,198903,4,37904,0
TRUE,0.743,0.87,"1",-2.188,"1",0.212,0.0595,0,0.299,0.884,99.079,194184,4,7625,-0.9798
TRUE,0.609,0.807,"5",-7.221,"1",0.0972,0.00403,5.42e-06,0.0926,0.492,119.073,238493,4,3944,0.9791
FALSE,0.735,0.453,"8",-8.264,"0",0.0602,0.413,0,0.104,0.335,115.002,217387,4,2323,-0.9967
TRUE,0.731,0.657,"0",-8.56,"1",0.0434,0.0591,0,0.0874,0.49,159.97,184490,4,8662,0.9631
