"hitness","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","sentiment","duration_min","log_popularity"
FALSE,0.455,0.292,"0",-6.792,"1",0.0563,0.889,0,0.106,0.43,84.339,5,0.9982,2.97445,9.61266722758384
TRUE,0.533,0.907,"11",-3.793,"1",0.0406,0.0292,0,0.386,0.7,150.99,4,0.9967,3.05266666666667,9.68738167857357
TRUE,0.656,0.542,"7",-7.358,"1",0.323,0.0484,0,0.126,0.551,166.111,4,-0.9201,2.35978333333333,9.6431612100942
FALSE,0.808,0.617,"10",-9.32,"0",0.442,0.111,0,0.734,0.632,149.96,4,-0.9979,2.77333333333333,9.46521512145185
FALSE,0.901,0.464,"5",-9.789,"0",0.0645,0.368,1.71e-05,0.238,0.638,109.004,4,0.9931,3.38778333333333,8.88502565805085
FALSE,0.898,0.733,"7",-4.75,"1",0.178,0.0533,0.000115,0.102,0.295,96.51,4,0.9982,3.95821666666667,8.93918760147561
FALSE,0.487,0.859,"4",-4.403,"1",0.0488,0.00204,0,0.322,0.377,148.037,4,0.5994,3.808,4.36944785246702
TRUE,0.706,0.855,"10",-5.377,"1",0.215,0.0911,0,0.347,0.293,107.184,4,0,3.35421666666667,10.0476311856162
FALSE,0.745,0.715,"1",-3.368,"0",0.246,0.128,0,0.182,0.342,94.511,4,-0.9986,2.2672,9.38134816886986
TRUE,0.876,0.786,"10",-4.884,"0",0.306,0.0627,0,0.127,0.575,153.068,4,0.9961,4.07798333333333,10.9597315128369
TRUE,0.499,0.797,"2",-3.77,"1",0.0554,0.199,0,0.0933,0.408,176.024,4,0.9705,3.52946666666667,6.91473089271856
TRUE,0.734,0.493,"0",-7.528,"1",0.308,0.0467,0,0.0477,0.562,86.043,4,-0.9926,3.89583333333333,8.83710041116275
FALSE,0.735,0.525,"6",-2.939,"0",0.0441,0.653,0.918,0.101,0.369,160.147,4,0.9144,2.62961666666667,10.5428119263986
FALSE,0.321,0.64,"2",-10.023,"1",0.0324,0.28,0,0.718,0.414,146.172,3,-0.9389,3.57221666666667,6.69084227741856
FALSE,0.774,0.608,"7",-6.264,"1",0.128,0.128,0,0.0895,0.56,137.494,4,0.9935,3.04201666666667,6.08904487544685
FALSE,0.36,0.233,"5",-14.716,"0",0.0327,0.932,0.00231,0.151,0.177,106.107,4,0.9601,4.51558333333333,9.2422265608385
FALSE,0.769,0.627,"7",-4.064,"1",0.262,0.394,0,0.106,0.49,157.938,4,-0.9809,2.73396666666667,9.80945156060953
FALSE,0.814,0.667,"6",-4.785,"0",0.36,0.0369,0,0.11,0.376,80.031,4,-0.9421,4,9.80945156060953
FALSE,0.764,0.784,"10",-4.003,"0",0.0833,0.469,0,0.123,0.51,144.981,4,0.6122,3.10671666666667,9.80945156060953
FALSE,0.655,0.835,"1",-3.451,"1",0.059,0.0459,0,0.409,0.165,91.035,4,0.1813,3.17353333333333,8.83710041116275
FALSE,0.761,0.673,"1",-5.887,"1",0.215,0.0917,1.04e-05,0.14,0.438,160.077,3,-0.9345,3.20675,10.2817184876905
TRUE,0.666,0.728,"7",-5.808,"1",0.0419,0.00175,4.26e-06,0.0429,0.51,122.996,4,-0.9928,3.41463333333333,7.33823815006559
FALSE,0.712,0.374,"0",-10.215,"0",0.511,0.795,0,0.187,0.779,133.952,4,-0.9831,1.80058333333333,10.5428119263986
TRUE,0.602,0.658,"1",-5.934,"1",0.0558,0.0233,6e-05,0.237,0.268,145.031,4,0.9982,3.29245,10.1852018532081
FALSE,0.797,0.293,"5",-7.479,"1",0.08,0.591,0.0724,0.148,0.478,80.035,4,-0.9942,2.02716666666667,10.5428119263986
FALSE,0.511,0.718,"11",-6.293,"0",0.404,0.000322,0,0.111,0.267,166.42,4,0.8788,6.04731666666667,8.83710041116275
FALSE,0.568,0.636,"11",-4.265,"1",0.204,0.00671,0,0.105,0.879,113.497,5,0.5818,3.29598333333333,10.5428119263986
FALSE,0.492,0.712,"9",-7.278,"0",0.691,0.564,9.1e-05,0.357,0.23,137.453,3,-0.9659,2.73471666666667,10.5428119263986
FALSE,0.639,0.312,"0",-9.902,"1",0.0301,0.774,0.469,0.0857,0.347,103.369,4,0.8738,2.51281666666667,10.5428119263986
FALSE,0.557,0.338,"5",-9.892,"1",0.0257,0.134,0.00184,0.14,0.689,140.935,4,0.6822,1.41873333333333,10.5428119263986
TRUE,0.513,0.661,"5",-6.419,"1",0.24,0.161,0,0.246,0.179,94.791,4,0.9987,3.48688333333333,9.71147923015263
FALSE,0.772,0.809,"0",-3.994,"0",0.154,0.0863,0,0.115,0.654,97.407,4,-0.9922,2.14615,9.38134816886986
FALSE,0.864,0.666,"1",-5.525,"1",0.234,0.0482,0,0.134,0.538,132.12,4,-0.9999,3.75013333333333,9.34084218004034
FALSE,0.593,0.0668,"11",-15.268,"0",0.0722,0.949,1.31e-05,0.194,0.19,102.456,4,-0.5759,1.2829,10.5428119263986
FALSE,0.871,0.316,"4",-12.964,"0",0.558,0.643,0,0.116,0.559,142.041,4,-0.9371,3.18433333333333,9.7091743828898
